Date,Title,Content,Link
"26 Apr 2020,Sunday",Train possibly belonging to Kim Jong-un spotted at resort town: Think-tank,"A special train possibly belonging to North Korean leader Kim Jong-un was spotted this week at a resort town in the country, according to satellite images reviewed by a US-based think-tank. The train was parked at ""leadership station"" in Wonsan on April 21 and April 23, the think-tank said. The station is reserved for the use of the Kim family.",https://inshorts.com/en/news/train-possibly-belonging-to-kim-jongun-spotted-at-resort-town-thinktank-1587870334838
"26 Apr 2020,Sunday",I'm not friends with my exes now as it isn't healthy: Demi,"Demi Lovato revealed that she learned to set boundaries with people after her drug overdose incident in 2018, adding, ""Not setting boundaries...put me in the position that I was in."" Furthermore, the 27-year-old singer said she also cut out ""toxic"" people from her life. ""I'm not...friends with...my exes today because I had to realise...that wasn't healthy either,"" Demi added.",https://inshorts.com/en/news/im-not-friends-with-my-exes-now-as-it-isnt-healthy-demi-1587874903026
"25 Apr 2020,Saturday",Reliance Entertainment denies reports of being offered ₹143 cr by OTT for '83,"Reliance Entertainment, co-producers of Ranveer Singh's '83, has denied the reports suggesting that the makers were offered ₹143 crore by a ""big OTT platform"" to get the rights and release the film digitally. CEO Shibasish Sarkar said there's no intention to release the film on small screens, adding, ""If...there's no visibility of normalcy even after six months, we'll evaluate then."" ",https://inshorts.com/en/news/reliance-entertainment-denies-reports-of-being-offered-₹143-cr-by-ott-for-83-1587835884380
"26 Apr 2020,Sunday",Finally know what a hero feels: Lara on police officer role,"Talking about playing a police officer in eight-episode web series 'Hundred', Lara Dutta said, ""There were multiple love angles, action...dancing and more."" The 42-year-old actress further said that she used to joke with director Ruchi Narain that after 15 years she finally got to know what a Bollywood hero feels like in a film. ""It was great fun,"" Lara added.",https://inshorts.com/en/news/finally-know-what-a-hero-feels-lara-on-police-officer-role-1587877035128
"25 Apr 2020,Saturday",I would call Joy from 3 Idiots: Ali on people he would like to spend time with,"On being asked to consider a hypothetical situation as to which two people he would like to spend time with, Ali Fazal said, ""I would call up Joy Lobo from '3 Idiots' and give him a hug."" ""He needed it...most when he committed suicide,"" he added. ""As I'm staying alone...I would also like to invite Zafar from 'Fukrey',"" said Ali.",https://inshorts.com/en/news/i-would-call-joy-from-3-idiots-ali-on-people-he-would-like-to-spend-time-with-1587836663671
"25 Apr 2020,Saturday","Will go back to Italy, I have a contract with Milan: Zlatan Ibrahimovic","AC Milan's Zlatan Ibrahimovic, who is currently training with Swedish club Hammarby amid the suspension of the Italian football league over COVID-19, has said that he'll go back to Italy once the season resumes. This has come amid media speculations that Ibrahimovic might play in Swedish championship Allsvenskan after his contract with Milan ends at the end of the season. ",https://inshorts.com/en/news/will-go-back-to-italy-i-have-a-contract-with-milan-zlatan-ibrahimovic-1587836084291
"26 Apr 2020,Sunday","Delhi Police distribute burgers, sanitisers, masks among street kids","Delhi Police officers distributed burgers, sanitisers and masks among street children in RK Puram area on Saturday amid the lockdown. SHO Rajesh Sharma said they distribute around 3,000 food packets daily as it's difficult for daily wagers to arrange for food. The kids requested they wanted to eat burgers and we felt that their wish must come true, Sharma added.",https://inshorts.com/en/news/delhi-police-distribute-burgers-sanitisers-masks-among-street-kids-1587875337793
"25 Apr 2020,Saturday","Over 41 years, Rajya Sabha spent 28% time making laws","Rajya Sabha spent approximately 28% of its functional time on making laws and 40% of its time in deliberating issues of public importance during a period of 41 years, said an analysis by the Upper House secretariat. During 1978-2018 period, the Rajya Sabha's productivity was around 77%, while it lost 23% of its time due to disruptions, revealed the analysis.",https://inshorts.com/en/news/over-41-years-rajya-sabha-spent-28-time-making-laws-1587837259989
"25 Apr 2020,Saturday",Russian Prez Putin approves law to shift end date of WWII to Sept 3,"Russian President Vladimir Putin has signed a bill into a law that shifts the end date of the World War II to September 3. The end of the war is internationally recognised as September 2,1945, the day on which Japan formally surrendered. However, as per the bill, a Soviet decree had declared September 3 as the day they defeated Japan.",https://inshorts.com/en/news/russian-prez-putin-approves-law-to-shift-end-date-of-wwii-to-sept-3-1587836729160
"25 Apr 2020,Saturday",About 328 entities opt for RBI's 3-month moratorium on loan repayment: ICRA,"At least 328 entities across sectors have opted for availing the RBI's three-month moratorium on their loan repayments, rating agency ICRA said. The list includes JSW Steel, Tata Power, Piramal Enterprises, Air India Express and GMR, among others. On March 27, the RBI permitted banks to allow moratorium on debt repayments for the March-May period due to the coronavirus pandemic.",https://inshorts.com/en/news/about-328-entities-opt-for-rbis-3month-moratorium-on-loan-repayment-icra-1587835999424
